region,hid,pid,age,sclfsato,nhood_mistrust,urban,female,hhtenure,hiqual3,worry_crime,cons,denom
1,1,1,59,6,3.5,1,1,1,1,1,1,1
1,2,2,50,6,2,1,0,1,2,1,1,1
1,3,3,74,5,2.5,1,1,1,2,1,1,1
1,4,4,18,4,1.5,1,1,1,,0,1,1
1,5,5,42,6,1.5,1,0,1,2,0,1,1
1,6,6,49,6,1.25,0,1,1,1,0,1,1
1,7,7,38,6,1.5,0,1,1,2,0,1,1
1,8,8,51,7,2.25,1,1,1,2,0,1,1
1,9,9,65,5,2.75,1,0,1,2,0,1,1
1,10,10,37,6,1.75,0,1,1,1,1,1,1
1,11,11,70,6,1.5,0,1,1,2,1,1,1
1,12,12,42,6,3.75,1,1,2,2,0,1,1
1,13,13,71,6,1.75,0,0,1,2,0,1,1
1,14,14,57,5,3,1,1,1,2,1,1,1
1,15,15,89,,1.25,1,0,2,3,0,1,1
1,16,16,46,4,1,0,1,2,1,0,1,1
1,17,17,40,3,2.75,1,1,2,1,1,1,1
1,18,18,61,,2.25,1,1,1,1,0,1,1
1,19,19,51,5,2,1,1,1,1,1,1,1
1,20,20,37,6,2.25,0,0,1,1,1,1,1
1,21,21,63,6,2.5,0,0,1,2,0,1,1
1,21,22,64,5,2.25,0,1,1,2,0,1,1
1,22,23,64,5,1.75,0,0,,2,0,1,1
1,22,24,63,6,2,0,1,,2,0,1,1
1,23,25,68,6,2.25,0,1,1,1,0,1,1
1,24,26,64,6,1.75,0,1,1,2,1,1,1
1,25,27,35,6,2,0,0,1,1,0,1,1
1,26,28,42,7,2.25,1,1,1,2,0,1,1
1,27,29,18,6,2.25,1,1,1,2,0,1,1
1,28,30,19,6,2,1,1,2,2,1,1,1
1,29,31,76,6,1.75,1,1,1,2,1,1,1
1,30,32,51,3,1.25,1,1,2,3,0,1,1
1,31,33,20,5,4.5,1,0,1,2,0,1,1
1,32,34,32,6,3.25,1,0,1,2,0,1,1
1,33,35,62,7,3,1,1,1,3,1,1,1
1,33,36,70,7,3.25,1,0,1,3,0,1,1
1,34,37,49,6,1,1,0,1,1,1,1,1
1,35,38,18,7,2,0,1,1,2,0,1,1
1,36,39,28,6,2,0,1,1,1,1,1,1
1,37,40,39,5,1.5,1,1,1,2,0,1,1
1,38,41,29,6,2.25,1,1,3,2,0,1,1
1,39,42,56,6,2.5,1,1,1,1,0,1,1
1,40,43,48,3,4.25,1,1,1,2,1,1,1
1,40,44,21,6,5,1,0,1,2,1,1,1
1,41,45,52,,2.25,1,1,1,1,0,1,1
1,42,46,48,5,3.5,1,0,1,2,0,1,1
1,43,47,78,5,3,1,0,1,3,0,1,1
1,44,48,41,6,2.5,1,0,1,2,0,1,1
1,45,49,36,6,2.75,1,0,1,2,1,1,1
1,46,50,54,6,2,1,0,1,1,1,1,1
1,47,51,53,6,1.5,1,0,1,2,1,1,1
1,48,52,68,3,,1,1,1,2,1,1,1
1,49,53,65,6,1.5,1,0,1,1,0,1,1
1,50,54,46,6,2,0,0,1,2,0,1,1
1,51,55,43,3,1.75,1,1,1,2,1,1,1
1,52,56,81,,2,1,1,2,3,0,1,1
1,53,57,60,6,2.25,1,1,2,3,1,1,1
1,54,58,31,6,2,0,0,1,2,0,1,1
1,55,59,27,7,3.25,1,1,2,2,1,1,1
1,56,60,77,6,2.75,0,0,1,3,0,1,1
1,57,61,54,7,2,0,1,3,3,0,1,1
1,58,62,46,4,2,1,0,1,1,1,1,1
1,59,63,42,3,3,1,0,2,1,1,1,1
1,60,64,16,5,2.25,1,1,1,2,0,1,1
1,61,65,59,3,2.25,1,0,1,1,1,1,1
1,62,66,34,5,2,1,1,1,2,0,1,1
1,63,67,33,6,2.25,1,1,1,2,1,1,1
1,64,68,16,5,2.5,1,1,1,2,1,1,1
1,65,69,19,7,1.5,0,0,2,2,1,1,1
1,66,70,43,6,2,1,0,1,1,1,1,1
1,67,71,52,3,4,1,1,3,2,1,1,1
1,68,72,19,7,3.75,1,0,1,2,1,1,1
1,69,73,19,6,1.75,1,1,1,,0,1,1
1,70,74,31,6,2,1,0,1,1,0,1,1
1,71,75,23,7,3.5,1,1,2,2,1,1,1
1,72,76,20,6,2,1,1,2,2,0,1,1
1,73,77,23,4,2.5,1,1,1,2,0,1,1
1,74,78,34,6,3,1,1,1,2,0,1,1
1,75,79,47,3,1.75,1,0,1,1,1,1,1
1,76,80,42,6,2,1,1,1,2,0,1,1
1,77,81,87,,2,1,0,1,3,0,1,1
1,78,82,66,5,2.25,1,0,2,1,0,1,1
1,79,83,53,4,2.5,1,0,1,2,0,1,1
1,80,84,31,6,1.75,0,1,1,2,0,1,1
1,81,85,29,1,2.5,0,0,3,2,0,1,1
1,82,86,41,,3,1,1,1,1,1,1,1
1,83,87,17,6,1.25,1,1,1,,0,1,1
1,84,88,56,,2,1,1,1,,1,1,1
1,85,89,20,6,2.25,1,1,3,2,1,1,1
1,86,90,66,6,2,0,0,1,3,0,1,1
1,87,91,73,6,1,0,0,2,1,0,1,1
1,88,92,58,5,2,0,1,1,1,0,1,1
1,89,93,50,5,1.5,0,0,1,2,1,1,1
1,90,94,74,,1.75,0,1,1,3,1,1,1
1,91,95,27,5,1.75,1,1,1,1,1,1,1
